Entity,Year,Share below $6.85 a day,p90_p10_ratio,p90_p50_ratio,reporting_gdp
Albania,1996,47.87914294,3.562162162,1.888252149,1633.551572
Albania,2002,52.09096563,3.982905983,2.089686099,2247.497491
Albania,2005,40.42842689,3.869674185,1.979487179,2675.507936
Albania,2008,33.43185105,3.573913043,1.957142857,3298.478044
Albania,2012,36.66775174,3.628117914,1.941747573,3736.339101
Albania,2014,38.74382595,5.179347826,2.299155609,3855.759734
Albania,2015,26.15431422,4.595833333,2.230535895,3952.802538
Albania,2016,25.41382815,4.927659574,2.252918288,4090.371657
Albania,2017,25.54099595,4.627291242,2.231827112,4249.803734
Albania,2018,18.16096007,4.263254113,2.003436426,4431.539181
Albania,2019,10.93691986,4.147368421,2.108562691,4544.515005
Algeria,1988,63.64718894,5.130081301,2.273873874,3128.337533
Algeria,1995,61.10341869,5.165354331,2.28173913,2834.265193
Algeria,2011,36.57495117,3.354120267,1.873134328,3956.895815
Angola,2000,67.21181897,12.27118644,3.100642398,2451.509826
Angola,2008,69.06348406,6.852459016,2.673773987,4077.776844
Angola,2018,77.97470209,10.01869159,3.134502924,3595.106667
Argentina,1980,5.526474609,7.20521542,2.558373591,10318.18299
Argentina,1986,4.770096523,7.102851324,2.752565114,9412.994813
Argentina,1987,7.622199044,8.366013072,2.864816473,9517.10861
Argentina,1991,14.32132279,7.617391304,2.896825397,8769.7504
Argentina,1992,14.87160947,8.074957411,2.996207332,9338.699517
Argentina,1993,15.0704013,8.438628159,2.892945545,9974.004419
Argentina,1994,15.68235195,8.560747664,2.932138284,10423.37888
Argentina,1995,20.47920417,10.35476718,3.229598893,10003.09169
Argentina,1996,22.40096094,10.98280098,3.229768786,10430.68249
Argentina,1997,21.3455168,11.13163972,3.252361673,11146.72103
Argentina,1998,23.29601165,11.73913043,3.384955752,11445.56494
Argentina,1999,24.22495967,11.79521277,3.285185185,10935.64459
Argentina,2000,26.29656104,12.74052478,3.4140625,10730.60822
Argentina,2001,31.06722866,16.37795276,3.642732049,10146.10682
Argentina,2002,44.37977563,15.02673797,3.584183673,8943.308002
Argentina,2003,29.5567932,12.10280374,3.349137931,9629.844086
Argentina,2004,24.7302535,11.32352941,3.146359584,10389.15127
Argentina,2005,20.78071547,10.7719715,3.039544236,11192.17958
Argentina,2006,16.79178894,10.04065041,2.895662368,11970.65539
Argentina,2007,15.40162122,9.597378277,2.908626561,12919.23536
Argentina,2008,14.07133094,9.394213382,2.820304017,13310.62368
Argentina,2009,12.77034677,9.027072758,2.710873984,12398.28358
Argentina,2010,11.24584951,8.549141966,2.710187933,13551.33919
Argentina,2011,9.013186397,8.122392211,2.711234912,14200.26989
Argentina,2012,8.497761875,7.566666667,2.596065874,13895.63371
Argentina,2013,8.460084468,7.62,2.569694245,14071.50868
Argentina,2014,9.139348512,7.580645161,2.662561576,13567.94842
Argentina,2016,8.77828617,7.737276479,2.648305085,13360.21183
Argentina,2017,7.874461633,7.430025445,2.58635961,13595.03736
Argentina,2018,9.668569744,7.607142857,2.587463557,13105.39716
Argentina,2019,11.17984167,8.125972006,2.682238193,12712.97074
Argentina,2020,14.08459664,8.125,2.676914153,11344.40574
Armenia,1996,69.80950814,6.687830688,2.689361702,1030.463922
Armenia,1999,82.3097573,4.280788177,2.211195929,1210.362395
Armenia,2001,83.79923614,4.5,2.291777188,1422.476654
Armenia,2002,82.89501148,4.097674419,2.230379747,1619.112189
Armenia,2003,82.57591514,3.596566524,2.009592326,1855.596827
Armenia,2004,73.48814368,4.216216216,2.260869565,2062.203233
Armenia,2005,67.46391615,3.868421053,2.161764706,2364.175935
Armenia,2006,62.8061096,3.50625,1.924528302,2697.018983
Armenia,2007,55.97315912,3.898809524,2.046875,3093.36934
Armenia,2008,52.14971723,3.477333333,1.957957958,3335.244164
Armenia,2009,60.74754403,3.423529412,1.953020134,2884.33947
Armenia,2010,62.10716546,3.489614243,1.986486486,2958.838999
Armenia,2011,59.25432192,3.544378698,1.938511327,3098.742304
Armenia,2012,55.24800126,3.492877493,1.924646782,3312.980008
Armenia,2013,53.0864203,3.748571429,1.987878788,3406.536118
Armenia,2014,51.05127688,3.744318182,1.958395245,3511.225059
Armenia,2015,46.67745395,3.686486486,1.918424754,3607.289299
Armenia,2016,42.42207977,4.07027027,1.953307393,3601.469664
Armenia,2017,48.65329791,3.657142857,2.020086083,3860.218058
Armenia,2018,48.85918885,3.773584906,2.02020202,4051.384967
Armenia,2019,52.25247045,3.422343324,1.871833085,4350.466198
Armenia,2020,53.45403082,2.927680798,1.770739065,4021.046264
Australia,1981,1.747674218,4.356780735,2.128482972,31570.85325
Australia,1985,2.031464623,4.518034826,2.211567732,33381.14964
Australia,1989,1.992724059,4.617537313,2.20653789,36602.73355
Australia,1995,1.749768648,4.428104575,2.185483871,39713.23155
Australia,2001,1.476827537,4.503464203,2.222222222,46496.02307
Australia,2003,1.747582636,4.470457079,2.209366391,48718.12971
Australia,2004,1.247864326,4.240412979,2.169811321,49885.99857
Australia,2008,0.6694529463,4.588235294,2.251546392,53282.27691
Australia,2010,1.008114825,4.521630616,2.211597152,53825.47239
Australia,2014,0.9969853458,4.380733945,2.197507191,56506.50059
Australia,2016,0.9891043717,4.390243902,2.154440154,57527.17703
Australia,2018,0.9842698093,4.525139665,2.137606032,58614.14965
Austria,1987,0,2.860706063,1.680947012,28359.31061
Austria,1994,0.9748917722,3.783433995,1.959776536,32949.56376
Austria,1995,2.248503957,4.501738123,1.930434783,33776.89854
Austria,1997,0.9249433024,3.896860987,1.988558352,35206.72616
Austria,2000,0.4800844068,3.62896664,1.903948773,38827.2726
Austria,2003,0.6519439974,3.658634538,1.903866249,39799.21308
Austria,2004,0.4237352034,3.654283548,1.920318725,40634.8816
Austria,2005,0.4507275291,3.511538462,1.876670092,41264.67242
Austria,2006,0.4761545823,3.564356436,1.916069601,42479.26415
Austria,2007,0.77529753,3.952941176,1.97453477,43920.04645
Austria,2008,0.9854000481,3.816998469,1.888257576,44422.18747
Austria,2009,1.00748111,4.012345679,1.925925926,42638.04137
Austria,2010,0.8140198995,3.881918819,1.912727273,43317.08506
Austria,2011,1.032590061,3.916791604,1.953271028,44433.12737
Austria,2012,1.069651278,4,1.927893738,44531.96912
Austria,2013,0.6671434529,3.807106599,1.931922723,44281.56633
Austria,2014,0.7315985642,3.811292719,1.882568807,44227.37868
Austria,2015,1.012751841,3.849924585,1.856363636,44178.04738
Austria,2016,1.326840417,3.891696751,1.89122807,44572.32282
Austria,2017,0.68288298,3.822684853,1.866783523,45263.51656
Austria,2018,1.151736893,3.888888889,1.923758865,46170.39489
Austria,2019,0.8497126908,3.928067701,1.93235039,46650.98628
Azerbaijan,1995,77.74078593,4.653266332,2.148491879,1102.459147
Azerbaijan,2001,70.99665447,4.612903226,2.334693878,1614.792116
Azerbaijan,2002,48.45349189,2.739130435,1.81294964,1754.073606
Azerbaijan,2003,44.57881642,2.970917226,1.831724138,1918.543633
Azerbaijan,2004,42.32237625,2.843881857,1.849108368,2077.812262
Azerbaijan,2005,31.3464002,2.852336449,1.893300248,2631.758979
Bangladesh,1983,97.77719692,3.085714286,1.756097561,475.8682072
Bangladesh,1988,96.95390853,3.360902256,1.894067797,496.082735
Bangladesh,1991,97.37942799,3.198529412,1.85106383,525.8258304
Bangladesh,1995,93.74933749,3.688741722,2.150579151,579.0776954
Bangladesh,2000,92.95989668,3.91503268,2.251879699,663.9878064
Bangladesh,2005,90.87790935,3.859649123,2.22972973,789.3048066
Bangladesh,2010,89.35675657,3.779569892,2.169753086,998.4658223
Bangladesh,2016,86.90296649,3.81,2.12849162,1363.278252
Belarus,1993,70.68378851,2.705882353,1.616871705,2373.890521
Belarus,1995,36.91667969,3.651331719,1.852579853,1886.477425
Belarus,1998,90.09005743,4.222222222,2.066465257,2370.186467
Belarus,1999,87.98479281,4.359281437,2.039215686,2461.826851
Belarus,2000,84.39742786,4.140625,1.997487437,2616.912993
Belarus,2001,73.66071949,3.943089431,1.95959596,2754.66447
Belarus,2002,67.68550674,3.876811594,1.95970696,2912.123361
Belarus,2003,64.8026672,3.747440273,1.916230366,3139.120986
Belarus,2004,54.30841403,3.363380282,1.820121951,3522.489851
Belarus,2005,35.96533767,3.531100478,1.838107098,3880.01437
Belarus,2006,27.86478586,3.661016949,1.876221498,4294.228672
Belarus,2007,20.69631299,3.751391466,1.944230769,4684.980291
Belarus,2008,16.43901206,3.472413793,1.827586207,5180.712344
Belarus,2009,15.58707173,3.433835846,1.836917563,5203.854887
Belarus,2010,11.84774422,3.658914729,1.912479741,5621.937175
Belarus,2011,9.963086706,3.437317784,1.825077399,5938.22068
Belarus,2012,5.863123947,3.245942572,1.783264746,6047.871129
Belarus,2013,3.404515658,3.195991091,1.787048568,6110.904667
Belarus,2014,3.203438628,3.275299238,1.808894231,6212.912772
Belarus,2015,4.103667916,3.185446009,1.780839895,5967.052204
Belarus,2016,4.590787391,3.053507729,1.766162311,5811.197944
Belarus,2017,3.270067181,3.081703107,1.785333333,5964.892944
Belarus,2018,1.943529583,3.026343519,1.788293898,6165.90933
Belarus,2019,2.440844295,3.015,1.761098131,6264.860965
Belarus,2020,1.285999489,2.908203125,1.72737819,6234.824328
Belgium,1985,0.7478574184,3.112884835,1.75562701,25559.20837
Belgium,1988,0.7352906937,3.082340195,1.745398773,27760.88548
Belgium,1992,1.193708892,3.061938062,1.734087694,30192.41913
Belgium,1995,1.155073692,3.505130597,1.835164835,31317.29498
Belgium,1997,0.9817235223,3.425841674,1.854679803,32791.17059
