Country or Area,Year,City,Value
Åland Islands,2013,MARIEHAMN,11370
Åland Islands,2012,MARIEHAMN,11304.5
Åland Islands,2011,MARIEHAMN,11226.5
Åland Islands,2010,MARIEHAMN,11156.5
Åland Islands,2009,MARIEHAMN,11064
Åland Islands,2008,MARIEHAMN,10954
Åland Islands,2007,MARIEHAMN,10863
Åland Islands,2000,MARIEHAMN,10488
Albania,2011,Durrës,113249
Albania,2011,TIRANA,418495
Albania,2003,TIRANA,392863
Algeria,1998,Annaba,352523
Algeria,1998,Batna,246800
Algeria,1998,Béchar,134523
Algeria,1998,Bejaïa,144405
Algeria,1998,Beskra,177060
Algeria,1998,Bordj Bou Arreridj,129004
Algeria,1998,Bordj el Kiffan,103690
Algeria,1998,Ech Cheliff (El Asnam),174314
Algeria,1998,El Boulaïda (Blida),229788
Algeria,1998,ALGIERS (EL DJAZAIR),1569897
Algeria,1998,El Djelfa,158679
Algeria,1998,El Eulma,104758
Algeria,1998,El Wad,105151
Algeria,1998,Ghardaïa,127959
Algeria,1998,Ghilizane,104644
Algeria,1998,Guelma,108682
Algeria,1998,Jijel,106306
Algeria,1998,Lemdiyya (Medea),128427
Algeria,1998,Mestghanem (Mostaganem),125911
Algeria,1998,M'Sila,102151
Algeria,1998,Qacentina (Constantine),465021
Algeria,1998,Saïda,113533
Algeria,1998,Sidi-bel-Abbès,183931
Algeria,1998,Skikda,153531
Algeria,1998,Souq Ahras,114512
Algeria,1998,Stif (Sétif),214842
Algeria,1998,Tbessa,154335
Algeria,1998,Tihert,148850
Algeria,1998,Tilimsen (Tlemcen),156258
Algeria,1998,Touggourt,114183
Algeria,1998,Wahran (Oran),705335
Algeria,1998,Wargla,139381
American Samoa,2010,PAGO PAGO,3656
American Samoa,2000,PAGO PAGO,4278
Andorra,2011,ANDORRA LA VELLA,22205
Andorra,2010,ANDORRA LA VELLA,23505
Andorra,2009,ANDORRA LA VELLA,24779
Andorra,2008,ANDORRA LA VELLA,24632
Andorra,2007,ANDORRA LA VELLA,24574
Andorra,2006,ANDORRA LA VELLA,24211
Andorra,2005,ANDORRA LA VELLA,23587
Andorra,2003,ANDORRA LA VELLA,21245
Anguilla,2001,THE VALLEY,4904
Antigua and Barbuda,1991,ST. JOHN,22342
Argentina,2013,Bahía Blanca-Cerri,317325.704982449
Argentina,2013,BUENOS AIRES,13339001.6015536
Argentina,2013,Catamarca,215795.389398648
Argentina,2013,Comodoro Rivadavia-Rada Tilly,146557.365847925
Argentina,2013,Concordia,157705.748550135
Argentina,2013,Córdoba,1442000.64659388
Argentina,2013,Corrientes,373981.279268183
Argentina,2013,Formosa,253508.104025216
Argentina,2013,La Plata,764468.872784661
Argentina,2013,La Rioja,193763.58807037
Argentina,2013,San Luis - El Chorrillo,216609.517202332
Argentina,2013,Mar del Plata-Batán,633905.593145199
Argentina,2013,Mendoza,923203.297204453
Argentina,2013,Neuquén-Plottier,277609.714022646
Argentina,2013,Paraná,286659.493034397
Argentina,2013,Posadas,312162.868950168
Argentina,2013,Resistencia,406284.472613334
Argentina,2013,Río Cuarto,168400.500188638
Argentina,2013,Rosario,1284951.22445876
Argentina,2013,Salta,562807.15066998
Argentina,2013,San Juan,486313.228956941
Argentina,2013,San Salvador de Jujuy-Palpalá,322872.909734593
Argentina,2013,Santa Fé,521233.02888211
Argentina,2013,Santa Rosa-Toay,127398.589387156
Argentina,2013,Santiago del Estero-La Banda,387320.455373139
Argentina,2013,Tucumán-Tafí Viejo,836411.619309512
Argentina,2013,Ushuaia-Río Grande,130617.023030331
Argentina,2012,Bahía Blanca-Cerri,314948
Argentina,2012,BUENOS AIRES,13242375
Argentina,2012,Catamarca,212174
Argentina,2012,Comodoro Rivadavia-Rada Tilly,145475
Argentina,2012,Concordia,155905
Argentina,2012,Córdoba,1429922
Argentina,2012,Corrientes,368778
Argentina,2012,Formosa,249062
Argentina,2012,La Plata,757980
Argentina,2012,La Rioja,189845
Argentina,2012,San Luis - El Chorrillo,212154
Argentina,2012,Mar del Plata-Batán,628672
Argentina,2012,Mendoza,916220
Argentina,2012,Neuquén-Plottier,273503
Argentina,2012,Paraná,283328
Argentina,2012,Posadas,307619
Argentina,2012,Rawson-Trelew-Playa Unión,132097
Argentina,2012,Resistencia,400869
Argentina,2012,Río Cuarto,167057
Argentina,2012,Rosario,1277149
Argentina,2012,Salta,554291
Argentina,2012,San Juan,480354
Argentina,2012,San Nicolás-Villa Constitución,181730
Argentina,2012,San Salvador de Jujuy-Palpalá,318287
Argentina,2012,Santa Fé,516203
Argentina,2012,Santa Rosa-Toay,125354
Argentina,2012,Santiago del Estero-La Banda,381767
Argentina,2012,Tucumán-Tafí Viejo,828258
Argentina,2012,Ushuaia-Río Grande,127797
Argentina,2010,Bahía Blanca-Cerri,310151
Argentina,2010,BUENOS AIRES,13047383.5911513
Argentina,2010,Catamarca,204865.910814638
Argentina,2010,Comodoro Rivadavia-Rada Tilly,143291.153938137
Argentina,2010,Concordia,152271.040291904
Argentina,2010,Córdoba,1405547.38043669
Argentina,2010,Corrientes,358278.429569445
Argentina,2010,Formosa,240088.945193687
Argentina,2010,La Plata,744885.526810173
Argentina,2010,La Rioja,181938.392736754
Argentina,2010,San Luis - El Chorrillo,203161.629153992
Argentina,2010,Mar del Plata-Batán,618111.615502295
Argentina,2010,Mendoza,902127.207628422
Argentina,2010,Neuquén-Plottier,265215.661375981
Argentina,2010,Paraná,276605.320616689
Argentina,2010,Posadas,298450.237364442
Argentina,2010,Rawson-Trelew-Playa Unión,128970.652529568
Argentina,2010,Resistencia,389940.094689328
Argentina,2010,Río Cuarto,164344.459035137
Argentina,2010,Rosario,1261404.11160335
Argentina,2010,Salta,537106.522392764
Argentina,2010,San Juan,468329.572242688
Argentina,2010,San Nicolás-Villa Constitución,179757.394037044
Argentina,2010,San Salvador de Jujuy-Palpalá,309034.152094366
Argentina,2010,Santa Fé,506053.768541226
Argentina,2010,Santa Rosa-Toay,121229.365117479
Argentina,2010,Santiago del Estero-La Banda,370561.386314553
Argentina,2010,Tucumán-Tafí Viejo,811804.106587273
Argentina,2010,Ushuaia-Río Grande,122104.906599864
Argentina,1991,Avellaneda,344024
Argentina,1991,Bahía Blanca-Cerri,260096
Argentina,1991,BUENOS AIRES,2965403
Argentina,1991,BUENOS AIRES,11298030
Argentina,1991,Catamarca,109882
Argentina,1991,Catamarca,132626
Argentina,1991,Comodoro Rivadavia-Rada Tilly,124104
Argentina,1991,Concordia,116485
Argentina,1991,Córdoba,1157507
Argentina,1991,Córdoba,1208554
Argentina,1991,Corrientes,258103
Argentina,1991,Formosa,147636
Argentina,1991,General San Martín,406809
Argentina,1991,La Matanza,1120088
Argentina,1991,La Plata,521936
Argentina,1991,La Plata,642979
Argentina,1991,Lanus,468561
Argentina,1991,Lomas de Zamora,574330
Argentina,1991,Mar del Plata-Batán,512880
Argentina,1991,Mendoza,121620
Argentina,1991,Mendoza,773113
Argentina,1991,Morón,643553
Argentina,1991,Neuquén-Plottier,167296
Argentina,1991,Neuquén-Plottier,183579
Argentina,1991,Paraná,207041
Argentina,1991,Paraná,211936
Argentina,1991,Posadas,201273
Argentina,1991,Posadas,210755
Argentina,1991,Quilmes,511234
Argentina,1991,Resistencia,229212
Argentina,1991,Resistencia,292287
Argentina,1991,Río Cuarto,134355
Argentina,1991,Río Cuarto,138853
Argentina,1991,Rosario,907718
Argentina,1991,Rosario,1118905
Argentina,1991,Salta,367550
Argentina,1991,Salta,370904
Argentina,1991,San Fernando,141063
Argentina,1991,San Isidro,299023
Argentina,1991,San Juan,119423
Argentina,1991,San Juan,352691
Argentina,1991,San Miguel de Tucumán,470809
Argentina,1991,San Miguel de Tucumán,622324
Argentina,1991,San Nicolás-Villa Constitución,119302
Argentina,1991,San Salvador de Jujuy-Palpalá,178748
Argentina,1991,San Salvador de Jujuy-Palpalá,180102
Argentina,1991,Santa Fé,353063
Argentina,1991,Santa Fé,406388
Argentina,1991,Santiago del Estero-La Banda,189947
Argentina,1991,Santiago del Estero-La Banda,263471
Argentina,1991,Vicente López,289505
Armenia,2011,Gyumri (Leninakan),121976
Armenia,2011,YEREVAN,1060138
Armenia,2009,Vanadzoz (Kirovakan),104825
Armenia,2009,Gyumri (Leninakan),146355
Armenia,2009,YEREVAN,1116648
