"ref_area.label","indicator.label","source.label","time","obs_value","note_indicator.label","note_source.label"
"Afghanistan","Trade union density rate (%)","ADM-RWO - Records of Unions of Afghanistan","2019",16.77,,
"Afghanistan","Trade union density rate (%)","ADM-RWO - Records of Unions of Afghanistan","2012",9.36,,
"Albania","Trade union density rate (%)","ADM - Administrative records and related sources","2017",36.85,,
"Albania","Trade union density rate (%)","ADM - Administrative records and related sources","2013",48.7,,
"Albania","Trade union density rate (%)","ADM - Administrative records and related sources","2012",48.2,,
"Albania","Trade union density rate (%)","ADM - Administrative records and related sources","2011",49.9,,
"Argentina","Trade union density rate (%)","ADM - Administrative records and related sources","2014",27.7,,
"Argentina","Trade union density rate (%)","ADM - Administrative records and related sources","2013",30.4,,
"Argentina","Trade union density rate (%)","ADM - Administrative records and related sources","2012",30,,
"Argentina","Trade union density rate (%)","ADM - Administrative records and related sources","2011",31.8,,
"Argentina","Trade union density rate (%)","ADM - Administrative records and related sources","2010",30.1,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2019",20.55,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2018",23.4,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2017",22.68,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2016",23.19,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2015",24.8,,
"Armenia","Trade union density rate (%)","LFS - Household Labour Force Survey","2014",23.78,,
"Armenia","Trade union density rate (%)","ADM-RWO - Records from branch republican Unions","2013",33.9,,
"Armenia","Trade union density rate (%)","ADM-RWO - Records from branch republican Unions","2012",35.2,,
"Armenia","Trade union density rate (%)","ADM-RWO - Records from branch republican Unions","2011",36.6,,
"Armenia","Trade union density rate (%)","ADM-RWO - Records from branch republican Unions","2010",35.8,,
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2018",13.66,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2016",14.56,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2015",16.63,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2014",16.35,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2013",18.22,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2012",19.57,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2011",19.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Australia","Trade union density rate (%)","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","2010",19.69,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2019",26.24,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2018",26.3,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2017",26.65,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2016",26.9,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2015",27.35,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2014",27.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2013",27.76,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2012",27.96,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2011",28.31,"Trade union membership coverage: Adjusted for the right to unionize",
"Austria","Trade union density rate (%)","OS - Trade unions records","2010",28.86,"Trade union membership coverage: Adjusted for the right to unionize",
"Burundi","Trade union density rate (%)","HIES - Living Standards Survey","2014",5.61,,
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2019",49.08,,
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2018",49.96,,
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2017",50.72,,
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2016",51.58,,
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2015",52.27,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2014",52.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2013",53.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2012",53.75,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2011",54.04,"Trade union membership coverage: Adjusted for the right to unionize",
"Belgium","Trade union density rate (%)","OS - Estimations based on Records from the three main union confederations","2010",52.7,"Trade union membership coverage: Adjusted for the right to unionize",
"Burkina Faso","Trade union density rate (%)","LFS - Regional Integrated Survey on Employment and the Informal Sector","2018",9.81,,
"Burkina Faso","Trade union density rate (%)","LFS - Regional Integrated Survey on Employment and the Informal Sector","2014",7.8,,
"Bangladesh","Trade union density rate (%)","ADM - Administrative Records","2018",11.9,,
"Bangladesh","Trade union density rate (%)","ADM - Administrative Records","2012",10.07,,
"Bangladesh","Trade union density rate (%)","ADM - Administrative Records","2010",11.29,,
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2016",13.7,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2015",13.6,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2014",13.9,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2013",14,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2012",11.4,"Trade union membership coverage: Refers only to the two main union confederations",
"Bulgaria","Trade union density rate (%)","ADM - Administrative Records","2011",13.9,"Trade union membership coverage: Refers only to the two main union confederations",
"Bosnia and Herzegovina","Trade union density rate (%)","OS - Estimations based on Administrative data","2012",30,,
"Belize","Trade union density rate (%)","ADM - Trade unions records","2019",7.43,,
"Belize","Trade union density rate (%)","ADM - Trade unions records","2012",9.09,,
"Belize","Trade union density rate (%)","ADM - Trade unions records","2011",9.52,,
"Bermuda","Trade union density rate (%)","ADM-RWO - Records of Workers' Organizations","2018",21.9,,
"Bermuda","Trade union density rate (%)","ADM-RWO - Records of Workers' Organizations","2012",24.66,,
"Bermuda","Trade union density rate (%)","ADM-RWO - Records of Workers' Organizations","2011",23.55,,
"Bermuda","Trade union density rate (%)","ADM-RWO - Records of Workers' Organizations","2010",23.29,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2019",12.05,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2018",11.83,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2017",11.32,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2016",13.33,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2015",11.41,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2014",14.97,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2013",19.07,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2012",18.71,,
"Bolivia","Trade union density rate (%)","HIES - Household Survey","2011",22.42,,
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2019",13.03,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2018",14.58,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2017",16.81,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2016",16.9,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2015",17.92,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2014",17.78,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2013",17.84,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2012",17.72,"Trade union membership coverage: Adjusted for the right to unionize",
"Brazil","Trade union density rate (%)","HS - National Household Sample Survey","2011",18.48,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","Trade union density rate (%)","OS - Estimations based on administrative data","2020",29.96,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","Trade union density rate (%)","OS - Estimations based on administrative data","2019",29.36,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","Trade union density rate (%)","OS - Estimations based on administrative data","2018",29.11,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","Trade union density rate (%)","OS - Estimations based on administrative data","2017",28.06,"Trade union membership coverage: Adjusted for the right to unionize",
"Botswana","Trade union density rate (%)","OS - Estimations based on administrative data","2016",29,"Trade union membership coverage: Adjusted for the right to unionize",
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2020",29.39,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2019",28.29,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2018",28.09,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2017",28.44,,
"Canada","Trade union density rate (%)","LFS - Labour Force Survey","2016",28.39,,
