id,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2023 $),Cost/km (2023 $),Source2,Reference,TrainType
1,HK,Hong Kong,Tung Chung Line Extension,Airport Express Extension,2000,2005,0,1.3,0,0,1.3,0,1,200,80,1432,0,Measured,18700,HKD,2003,0.1669827093,3122.576663,2401.982049,0,0,0,0,1.483401816,4632.035892,3563.104532,Google,https://inews.hket.com/article/2612401/%E6%B8%AF%E9%90%B5%E6%9D%B1%E6%B6%8C%E7%B7%9A%E5%BB%B6%E7%B7%9A%E5%BB%B6%E9%95%B71.3%E5%85%AC%E9%87%8C%E9%80%A0%E5%83%B9187%E5%84%84%E3%80%80%E6%AF%8F%E5%85%AC%E9%87%8C%E6%88%90%E6%9C%AC%E9%80%BE%E7%99%BE%E5%84%84%EF%BC%9F,MRT
2,DE,Berlin,U9,to Rathaus Steglitz,1968,1974,0,1.5,1,1.5,0,0,2,100,80,1435,0,Media,61.2,DM,1971,0.7598507045,46.50286312,31.00190874,0,0,0,0,6.739405779,313.4016645,208.934443,Media,http://www.berliner-verkehrsseiten.de/Download/Archiv/U_155_Eroeffnungsschrift_Steglitz_U9.pdf,MRT
3,CN,Beijing,Line 8,Phase 2 South,2007,2013,0,4.447,1,4.447,0,0,6,,100,1435,0,Wiki,4780.525,CNY,2010,0.3004025093,1436.081706,322.9326975,0,0,0,0,1.251724025,1797.577974,404.2226161,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF,MRT
4,CN,Beijing,Line 8,Phase 3 North,2019,2021,0,3.6,1,3.6,0,0,3,,100,1435,0,Media,2880,CNY,2020,0.239311224,689.2163251,191.4489792,0,0,0,0,1.054614889,726.8577983,201.904944,Media,https://www.railmetrochina.com/expo/%E5%9F%8E%E5%B8%82%E5%9C%B0%E9%93%81%E5%B9%B3%E5%9D%87%E9%80%A0%E4%BB%B77-46%E4%BA%BF%EF%BC%81%E8%BF%91%E4%BA%9B%E5%B9%B4%E5%9C%B0%E9%93%81%E9%80%A0%E4%BB%B7%E8%B6%8A%E6%9D%A5%E8%B6%8A%E8%B4%B5.html,MRT
5,FR,Lyon,Line A,to Vaulx,2005,2007,0,1,1,1,0,0,1,,80,1435,0,Plan,53,EUR,2006,1.117636869,59.23475404,59.23475404,0,0,0,0,1.353898482,80.1978436,80.1978436,Plan,https://web.archive.org/web/20080312071952/http://www.sytral.fr/176.0.html,MRT
6,BG,Sofia,Line 2,extension,2012,2016,0,1.3,1,1.3,0,0,1,,80,1435,0,Media,40.95,BGL,2014,1.512328502,61.92985215,47.63834781,1,1.3,1.3,0,1.152954912,71.40232725,54.92486711,Media,https://seenews.com/news/sofia-subway-launches-13-km-section-with-one-station-533330,MRT
7,DE,Berlin,U2,to Pankow,1997,2000,0,0.8,1,0.8,0,0,1,100,80,1435,0,Media,54,EUR,1999,1.048087293,56.59671383,70.74589228,0,0,0,0,1.638330937,92.72414718,115.905184,Media,https://www.berliner-zeitung.de/endspurt-auf-der-baustelle-die-strecke-von-vinetastrasse-nach-bahnhof-pankow-wird-puenktlich-fertig-und-billiger-u-bahn-linie-2-ab-sonnabend-sind-die-pankower-am-zug-li.33430,MRT
8,IT,Genova,Metro,Brin-Canepari + Brignole Martinez Sections,2020,2023,0,1.5,0,0,0.3,1.2,2,80,80,1435,1,wiki,63,EUR,2022,1.598933192,100.7327911,67.15519405,1,1.5,0,0,1.015482418,102.2923783,68.19491886,plan,https://smart.comune.genova.it/articoli/presentato-ai-cittadini-il-progetto-della-nuova-metro-brin-canepari,MRT
9,ES,Barcelona,L2,to Badalona,2006,2010,0,0.7,1,0.7,0,0,1,,80,1435,1,Plan,70,EUR,2008,1.37767234,96.43706379,137.767234,1,0.7,0.7,0,1.267729358,122.256097,174.6515672,Plan,http://territori.scot.cat/cat/notices/2010/10/metro_lInia_2_2737.php,MRT
10,DE,Nuremberg,U3,to Grossreuth,2014,2020,0,1.1,1,1.1,0,0,1,90,80,1435,0,Plan,69,EUR,2017,1.342672966,92.64443469,84.22221335,0,0,0,0,1.11351964,103.1613975,93.78308866,Media,https://www.nuernberg.de/presse/mitteilungen/presse_68381.html,MRT
