ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,,
9789,HK,Hong Kong,,Airport Express Extension,2000,2005,0,1.3,0.00%,0,1.3,0,1,200,80,1432,0,Measured,130,HKD,2005,0.1837044592,23.85204545,18.3,0,0,0,0,1.387455197,33.1,25.5,,,,
,DE,Berlin,U9,Extension to Rathaus Steglitz,1968,1974,0,1.5,100%,1.5,,,2,100,80,1435,0,Media,120,DM,1971,0.7598507045,46.032,30.7,0,0,0,0,6.690617284,308,205.3,Media,http://www.berliner-verkehrsseiten.de/Download/Archiv/U_155_Eroeffnungsschrift_Steglitz_U9.pdf,,
7651,CN,Beijing,Line 8,Line 8 Phase 2 South,2007,2013,0,4.447,100.00%,4.447,0,0,6,,100,1435,0,Wiki,186.06,CNY,2013,0.2729522102,50.79417191,11.4,0,0,0,0,1.163176037,59.1,13.3,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF,,
7635,CN,Beijing,Line 8,Line 8 Phase 3 North,2019,2021,0,3.6,100.00%,3.6,0,0,3,,100,1435,0,Media,258.62,CNY,2020,0.239311224,61.8105087,17.2,0,0,0,0,1.046980229,64.7,18,Media,https://www.bjsubway.com/news/ghjs/2013-12-30/1316.html,,
7472,FR,Lyon,,Line A to Vaulx,2005,2007,0,1,100.00%,1,0,0,1,,80,1435,0,Plan,53,EUR,2006,1.117636869,66.25,66.3,0,0,0,0,1.344097222,89,89,Plan,https://web.archive.org/web/20080312071952/http://www.sytral.fr/176.0.html,,
7171,BG,Sofia,Line 2,Line 2 extension,2012,2016,0,1.3,100.00%,1.3,0,0,1,,80,1435,0,Media,21,EUR,2014,1.512328502,69.72,53.6,1,1.3,1.3,0,1.14460834,79.8,61.4,Media,https://seenews.com/news/sofia-subway-launches-13-km-section-with-one-station-533330,,
7601,DE,Berlin,U2,U2 to Pankow,1997,2000,0,0.8,100.00%,0.8,,,1,100,80,1435,0,Media,54,EUR,1998,1.03232733,70.2,87.8,0,0,0,0,1.662392638,116.7,145.9,Media,https://www.berliner-zeitung.de/endspurt-auf-der-baustelle-die-strecke-von-vinetastrasse-nach-bahnhof-pankow-wird-puenktlich-fertig-und-billiger-u-bahn-linie-2-ab-sonnabend-sind-die-pankower-am-zug-li.33430,,
,IT,Genova,,Brin-Canepari + Brignole Martinez,2020,2023,0,1.5,0.00%,0,0.3,1.2,2,80,80,1435,1,wiki,63,EUR,2022,1.598933192,81.9,54.6,1,1.5,0,0,1,81.9,54.6,plan,https://smart.comune.genova.it/articoli/presentato-ai-cittadini-il-progetto-della-nuova-metro-brin-canepari,,
7450,ES,Barcelona,,L2 to Badalona,2006,2010,0,0.7,100.00%,0.7,0,0,1,,80,1435,1,Plan,70,EUR,2008,1.37767234,87.5,125,1,0.7,0.7,0,1.258551901,110.1,157.3,Plan,http://territori.scot.cat/cat/notices/2010/10/metro_lInia_2_2737.php,,
7594,DE,Nuremberg,U3,U3 extension to Grossreuth,2014,2020,0,1.1,100.00%,1.1,,,1,90,80,1435,0,Plan,69,EUR,2017,1.342672966,89.7,81.5,0,0,0,0,1.105458551,99.2,90.1,Media,https://www.nuernberg.de/presse/mitteilungen/presse_68381.html,,
,IT,Milan,M1,M2 (Famagosta-Assago),2005,2011,0,4.8,0.00%,0,0,4.8,2,110,90,1435,0,wiki,70,EUR,2005,1.16940053,91,19,1,4.8,0,0,1.387455197,126.3,26.3,plan,http://www.rivistacorteconti.it/export/sites/rivistaweb/RepositoryPdf/2017/fascicolo_16_2017/30_CDC_gestione_4.pdf,,
7425,FR,Paris,,Line 8 to Pointe-du-Lac,2007,2011,0,1.3,0.00%,0,0,1.3,1,,70,1435,0,Wiki,83,EUR,2005,1.091157478,103.75,79.8,0,0,0,0,1.387455197,143.9,110.7,Media,https://www.railpassion.fr/materiel-actualites-rp/011-14751-la-ligne-8-du-metro-arrive-a-creteil-pointe-du-lac/,,
7632,TR,Izmir,M1,M1 (Phase 3),2010,2012,0,2.25,100.00%,2.25,0,0,2,,70,1435,0,Plan,106,TRY,2011,1.035008114,106,47.1,1,2.25,2.25,0,1.204637702,127.7,56.8,Plan,https://www.uab.gov.tr/uploads/pages/kutuphane/d38e678334e19c8.pdf,,
,IT,Catania,,Galatea-Stesicoro,2001,2016,0,1.9,100.00%,1.9,0,0,2,80,80,1435,1,plan,85,EUR,2012,1.337379352,110.5,58.2,1,1.9,1.9,0,1.180213769,130.4,68.6,Plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1723,,
7658,CN,Shanghai,Line 2,Line 2 Eastern Extension 1,1999,2000,0,2.72,31.99%,0.87,0.305,1.5718,1,,80,1435,1,Wiki,314.77,CNY,1999,0.3665869218,115.52,42.5,0,0,0,0,1.626470588,187.9,69.1,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,,
7642,CN,Beijing,Line 14,Line 14 West,2010,2017,0,12.4,59.68%,7.4,4.565,0.519,7,,100,1435,1,Media,424.66,CNY,2012,0.2808225179,119.2438356,9.6,0,0,0,0,1.180213769,140.7,11.3,Media,http://www.mtr.bj.cn/article/5d510c13ebb1a36f5ef598dd.html; https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8114%E5%8F%B7%E7%BA%BF#reference-[2]-1443669-wrap,,
,IT,Catania,,Nesima-Monte Po,2015,2022,0,1.7,100.00%,1.7,0,0,2,80,80,1435,1,plan,93,EUR,2018,1.467956707,120.9,71.1,1,1.7,1.7,0,1.079101738,130.5,76.7,Plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1723,,
,IT,Milan,,M1 (Molino Dorino-Rho MilanoFiera),2003,2005,0,2.1,100.00%,2.1,0,0,2,110,90,1435,1,wiki,95,EUR,2004,1.173903193,123.5,58.8,1,2.1,2.1,0,1.434462679,177.2,84.4,plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1241,,
7650,CN,Beijing,Line 8,Line 8 Phase 2 North,2007,2011,0,10.7,100.00%,10.7,0,0,6,,100,1435,0,Media,447.68,CNY,2011,0.2837307645,127.1411765,11.9,0,0,0,0,1.204637702,153.2,14.3,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%818%E5%8F%B7%E7%BA%BF#%E4%BA%8C%E6%9C%9F%E5%B7%A5%E7%A8%8B,,
,IT,Catania,,Borgo-Nesima,2007,2017,0,3.1,100.00%,3.1,0,0,4,80,80,1435,1,plan,104,EUR,2012,1.337379352,135.2,43.6,1,3.1,3.1,0,1.180213769,159.6,51.5,Plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1723,,
7272,NO,Oslo,,Løren Line,2013,2016,0,1.6,100.00%,1.6,0,0,1,,70,1435,0,Trade,"1,330",NOK,2014,0.1077765292,142.31,88.9,1,1.6,1.6,0,1.14460834,162.9,101.8,Trade,https://www.railwaygazette.com/l%C3%B8renbanen-opens-in-oslo/42312.article,,
7169,BG,Sofia,Line 1,Line 1 southern,2013,2015,0,3,100.00%,3,0,0,3,,80,1435,0,Media,44,EUR,2014,1.512328502,146.08,48.7,1,3,3,0,1.14460834,167.2,55.7,Media,https://www.novinite.com/articles/168384/Subway+Extension+to+Business+Park+Sofia+Opens,,
7529,CH,Lucerne,,Zentralbahn,2008,2013,1,1.5,90.00%,1.4,0,0,1,,75,1000,1,Plan,220,CHF,2010,0.6820645001,149.736,99.8,1,1.5,1.4,0,1.242662435,186.1,124,Plan,https://www.luzernerzeitung.ch/zentralschweiz/luzern/seetalplatz-und-zentralbahn-60-millionen-guenstiger-als-budgetiert-ld.1150224,,
