start_year,end_year,at_grade_transformed,elevated_transformed,duration_transformed,tunnel_transformed,stations_transformed,tunnel_MRT_interaction,at_grade_MRT_interaction,tunnel_asia_interaction,at_grade_asia_interaction,stations_Streetcar_interaction,stations_LightRail_interaction,stations_MRT_interaction,stations_tunnel_interaction,stations_atgrade_interaction,stations_elevated_interaction,duration_tunnel_interaction,duration_atgrade_interaction,duration_elevated_interaction,extension_tunnel_interaction,extension_atgrade_interaction,extension_elevated_interaction,cost_real_2023_transformed,region,sub_region,train_type,project_type,soil_type,city_size,country_income_class,elevation_class,precipitation_type,temperature_category,poverty_rate,city_density_type
2014,2022,0.0,0.0,2.060682505183506,2.348424968359097,1.9300776947834186,2.348424968359097,0.0,2.348424968359097,0.0,0.0,0.0,1.9300776947834186,4.532642649302349,0.0,0.0,4.8393582470337195,0.0,0.0,2.348424968359097,0.0,0.0,17.694864614939444,Asia,Eastern Asia,MRT,Extension,Clay Dominant,Metropolis (>15M),middle-income,Mid-land,Moderate,Mild,Low Poverty,Medium Density
2021,2027,0.0,0.0,1.8382964414721545,2.7621380088190963,4.509780175426842,2.7621380088190963,0.0,2.7621380088190963,0.0,0.0,0.0,4.509780175426842,12.456635233965333,0.0,0.0,5.0776284724671275,0.0,0.0,0.0,0.0,0.0,26.013114271007534,Asia,Eastern Asia,MRT,New,River Valleys/Deltas (River Sediments),Metropolis (>15M),low-income,Coastal,Moderate,Mild,High Poverty,Medium Density
2008,2016,0.0,0.780248220433634,2.060682505183506,2.2028875899484097,3.1551606056620636,2.2028875899484097,0.0,2.2028875899484097,0.0,0.0,0.0,3.1551606056620636,6.950464142507068,0.0,2.4618084477501316,4.539451917492545,0.0,1.6078438575481533,0.0,0.0,0.0,24.925258831669247,Asia,Eastern Asia,MRT,New,Clay Dominant,Medium (1M-5M),low-income,Mid-land,Moderate,Mild,High Poverty,Low Density
2021,2026,0.0,0.0,1.7002481439817703,2.6189457447936935,3.9280179522512544,2.6189457447936935,0.0,2.6189457447936935,0.0,0.0,0.0,3.9280179522512544,10.28726590152166,0.0,0.0,4.4528576417744326,0.0,0.0,0.0,0.0,0.0,23.78122734316166,Asia,Eastern Asia,MRT,New,River Valleys/Deltas (River Sediments),Metropolis (>15M),low-income,Coastal,High,Mild,High Poverty,Medium Density
2021,2025,0.0,0.0,1.535341668488013,2.065696020608893,2.194834105659709,2.065696020608893,0.0,2.065696020608893,0.0,0.0,0.0,2.194834105659709,4.533860077957939,0.0,0.0,3.1715491748707065,0.0,0.0,2.065696020608893,0.0,0.0,20.471373991127344,Asia,Eastern Asia,MRT,Extension,River Valleys/Deltas (River Sediments),Metropolis (>15M),low-income,Coastal,Moderate,Mild,High Poverty,Medium Density
2017,2021,0.0,0.0,1.535341668488013,3.1582599410710532,5.446187395686008,3.1582599410710532,0.0,3.1582599410710532,0.0,0.0,0.0,5.446187395686008,17.200475483361203,0.0,0.0,4.8490080874428845,0.0,0.0,0.0,0.0,0.0,27.67294861232949,Asia,Eastern Asia,MRT,New,River Valleys/Deltas (River Sediments),Large (5M-15M),low-income,Coastal,Moderate,Mild,High Poverty,Low Density
2006,2007,0.4146236250143099,0.0,0.6791564163609107,0.0,4.035087151905229,0.0,0.0,0.0,0.0,4.035087151905229,0.0,0.0,0.0,1.6730424621716131,0.0,0.0,0.2815942953032888,0.0,0.0,0.4146236250143099,0.0,4.134298021579324,Americas,Northern America,Streetcar,Extension,"Fertile/Agricultural (Grasslands, Food Bearing, Pasture)",Medium (1M-5M),high-income,Mid-land,Moderate,Cold,Low Poverty,Low Density
2014,2021,0.0,0.6511710564796095,1.956868022416948,2.1440388385486275,3.815913088578015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.181465866437312,0.0,2.4848121573237156,4.195601041975783,0.0,1.2742558175484082,0.0,0.0,0.0,18.068733637158992,Europe,Western Europe,Monorail/APM,New,"Fertile/Agricultural (Grasslands, Food Bearing, Pasture)",Small (<1M),high-income,Mid-land,Moderate,Cold,Low Poverty,Medium Density
2017,2025,1.0748276035102782,0.0,2.060682505183506,0.0,5.84379598887502,0.0,0.0,0.0,0.0,0.0,5.84379598887502,0.0,0.0,6.281073238125514,0.0,0.0,2.2148784386419442,0.0,0.0,0.0,0.0,16.507666816574307,Americas,Latin America and the Caribbean,Light Rail,New,"Fertile/Agricultural (Grasslands, Food Bearing, Pasture)",Small (<1M),low-income,High-land,Low,Mild,Moderate Poverty,Medium Density
2018,2024,0.0,0.0,1.8382964414721545,1.3555890945149682,1.9300776947834186,1.3555890945149682,0.0,0.0,0.0,0.0,0.0,1.9300776947834186,2.6163922746149915,0.0,0.0,2.491974608545326,0.0,0.0,1.3555890945149682,0.0,0.0,12.738370833007878,Europe,Southern Europe,MRT,Extension,"Fertile/Agricultural (Grasslands, Food Bearing, Pasture)",Small (<1M),middle-income,Mid-land,Moderate,Mild,Low Poverty,Medium Density
