iter	Passed	Remaining
0	2	541
1	5	543
2	8	542
3	11	553
4	14	556
5	16	547
6	19	544
7	24	576
8	27	586
9	31	605
10	36	624
11	39	626
12	44	640
13	50	671
14	56	691
15	59	684
16	64	695
17	69	700
18	72	691
19	77	699
20	82	702
21	85	693
22	88	683
23	91	671
24	94	660
25	97	650
26	100	641
27	103	634
28	105	624
29	108	617
30	112	610
31	115	606
32	118	599
33	122	596
34	124	588
35	127	581
36	130	575
37	133	569
38	136	563
39	139	557
40	142	552
41	145	547
42	148	543
43	152	540
44	155	536
45	158	530
46	161	525
47	164	520
48	168	518
49	171	513
50	174	509
51	177	505
52	180	501
53	184	497
54	187	493
55	190	489
56	193	484
57	196	480
58	199	476
59	202	472
60	205	468
61	208	463
62	211	460
63	214	455
64	217	452
65	220	448
66	223	444
67	226	440
68	229	436
69	232	432
70	235	428
71	238	424
72	241	420
73	245	417
74	248	414
75	251	409
76	254	406
77	257	403
78	260	398
79	263	395
80	266	391
81	268	387
82	271	383
83	275	379
84	278	376
85	281	372
86	284	369
87	287	366
88	291	363
89	293	359
90	296	355
91	299	351
92	302	347
93	305	344
94	308	340
95	310	336
96	313	333
97	316	329
98	319	326
99	322	322
100	325	318
101	328	315
102	331	312
103	334	308
104	336	304
105	339	301
106	342	297
107	345	294
108	348	290
109	350	287
110	353	283
111	356	280
112	359	276
113	362	273
114	365	269
115	367	266
116	370	263
117	373	259
118	376	256
119	380	253
120	383	250
121	386	246
122	388	243
123	391	240
124	394	236
125	397	233
126	400	229
127	402	226
128	405	223
129	408	219
130	411	216
131	414	213
132	417	210
133	420	206
134	423	203
135	426	200
136	429	197
137	432	194
138	434	190
139	437	187
140	439	184
141	442	180
142	445	177
143	447	174
144	450	170
145	453	167
146	456	164
147	459	161
148	461	158
149	464	154
150	467	151
151	471	148
152	474	145
153	477	142
154	480	139
155	483	136
156	486	133
157	488	129
158	491	126
159	494	123
160	497	120
161	499	117
162	502	114
163	505	110
164	508	107
165	510	104
166	513	101
167	516	98
168	519	95
169	522	92
170	525	89
171	528	86
172	530	82
173	533	79
174	536	76
175	539	73
176	542	70
177	545	67
178	547	64
179	550	61
180	553	58
181	556	54
182	558	51
183	561	48
184	564	45
185	566	42
186	569	39
187	572	36
188	575	33
189	578	30
190	581	27
191	584	24
192	587	21
193	590	18
194	593	15
195	596	12
196	599	9
197	602	6
198	605	3
199	608	0
